,Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1975,1975,Single,51,1,9070,Daytime,1,143,Portuguese,1,1,4,4,120,1,0,0,1,female,0,21,0,3,10,10,10,13,0,5,11,11,10,11.4,0,11.1,0.6,2.02,Dropout
1976,1976,Single,1,4,9500,Daytime,1,118,Portuguese,19,19,3,3,110,1,0,0,1,female,0,19,0,0,7,12,4,12.85,0,0,7,7,7,12.62142857,0,11.1,0.6,,Enrolled
1977,1977,Single,44,1,9238,Daytime,39,140,Portuguese,1,19,191,102,143,0,0,0,1,Female,0,20,0,3,6,6,6,13.5,0,2,6,9,5,12.5,0,13.9,-0.3,0.79,Graduate
1978,1978,Single,44,1,9085,Daytime,1,140,Portuguese,1,2,3,3,140,0,0,0,1,FEMALE,0,20,0,0,6,7,6,14.28571429,0,0,6,9,3,13,0,13.9,-0.3,0.79,Enrolled
1979,1979,Single,1,1,9670,Daytime,1,123,Portuguese,12,1,9,9,119.2,1,0,0,1,Female,1,18,0,0,6,8,5,13.5,0,0,6,6,6,14.5,0,12.4,0.5,1.79,Graduate
1980,1980,Single,1,1,9147,Daytime,1,140,Portuguese,19,19,9,9,124.3,1,0,0,1,FEMALE,1,18,0,0,5,8,4,10.75,0,0,5,5,5,13,0,12.4,0.5,1.79,Graduate
1981,1981,Single,17,1,9238,Daytime,1,116,Portuguese,19,19,7,7,111.1,1,0,0,1,Female,1,18,0,0,6,9,6,11.33333333,0,0,6,9,6,11.83333333,0,8.9,1.4,3.51,Graduate
1982,1982,Single,43,1,9085,Daytime,39,150,Portuguese,38,37,6,6,150,1,0,0,1,Female,1,21,0,2,7,15,3,13,2,1,5,12,5,13.28571429,1,10.8,1.4,1.74,Graduate
1983,1983,Single,1,1,9500,Daytime,1,147,Portuguese,38,19,5,8,147.3,0,0,0,1,female,0,18,0,0,7,7,6,13.96666667,0,0,7,7,6,13.96666667,0,7.6,2.6,0.32,Graduate
1984,1984,Single,1,1,9500,Daytime,1,162,Portuguese,19,1,5,5,147.5,1,0,0,1,Female,1,18,0,0,8,8,8,14.14125,0,0,8,8,8,14.14125,0,9.4,-0.8,-3.12,Graduate
1985,1985,Single,17,2,9254,Daytime,1,108,Portuguese,37,37,9,7,108,1,0,0,1,female,1,20,0,0,6,10,4,11.6,0,0,6,10,4,11.75,0,12.7,3.7,-1.7,Graduate
1986,1986,Married,42,1,9500,Daytime,2,130,Portuguese,37,37,9,9,130,0,0,0,1,Female,1,32,0,0,8,8,8,14.6625,0,0,8,8,8,14.6625,0,9.4,-0.8,-3.12,Graduate
1987,1987,Married,39,1,9991,Evening,1,140,Portuguese,37,37,9,10,130,0,0,0,1,female,0,34,0,0,5,5,0,0,0,0,5,5,0,0,0,9.4,-0.8,-3.12,Enrolled
1988,1988,Single,1,2,9500,Daytime,1,116,Portuguese,19,37,3,3,109,1,0,0,1,Female,1,23,0,0,7,8,6,12.99333333,0,0,8,9,8,12.66875,0,11.1,0.6,2.02,Graduate
1989,1989,Single,1,5,9670,Daytime,1,120,Portuguese,4,1,4,10,112,1,0,0,1,female,0,18,0,0,6,10,4,11.25,0,0,6,11,5,12.2,0,8.9,1.4,3.51,Enrolled
1990,1990,Single,17,1,8014,Evening,1,132,Portuguese,37,19,5,5,121.2,0,0,0,1,FEMALE,0,18,0,0,6,8,5,12.2,0,0,6,10,5,12.8,0,10.8,1.4,1.74,Graduate
1991,1991,Single,43,1,171,Daytime,2,140,Portuguese,37,37,9,9,140,1,0,0,1,Female,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1992,1992,Single,39,1,8014,Evening,1,120,Moldova (Republic of),1,1,4,7,119.5,0,0,1,1,Female,0,25,1,2,6,6,6,11.33333333,0,0,6,6,4,11.75,0,8.9,1.4,3.51,Enrolled
1993,1993,Single,1,1,9147,Daytime,1,136,Portuguese,37,38,193,181,125.9,0,0,0,1,FEMALE,0,21,0,0,5,7,5,12.2,0,0,5,7,5,11.8,0,11.1,0.6,2.02,Graduate
1994,1994,Single,1,1,9254,Daytime,1,133,Portuguese,19,9,0,0,121.5,1,0,0,1,FEMALE,1,20,0,0,6,12,0,0,0,0,6,12,0,0,0,7.6,2.6,0.32,Dropout
1995,1995,Single,1,5,9238,Daytime,1,126,Portuguese,30,19,0,2,121.5,1,0,0,1,Female,0,18,0,0,6,8,6,11.33333333,0,0,6,6,6,11.66666667,0,7.6,2.6,0.32,Graduate
1996,1996,Single,17,1,9085,Daytime,1,142,Portuguese,3,37,4,8,132.4,1,0,0,1,Female,0,18,0,0,6,8,6,13.85714286,0,0,6,15,6,13.1,0,12.4,0.5,1.79,Graduate
1997,1997,Single,17,1,9773,Daytime,1,121,Portuguese,37,37,9,9,122.4,0,0,0,1,FEMALE,0,18,0,0,6,7,6,12.85714286,0,0,6,6,6,13.33333333,0,13.9,-0.3,0.79,Graduate
1998,1998,Single,39,1,8014,Evening,1,134,Portuguese,37,38,4,7,110,1,0,0,1,female,0,24,0,0,6,10,1,10,0,0,6,12,0,0,0,9.4,-0.8,-3.12,Dropout
1999,1999,Single,51,1,9147,Daytime,1,140,Portuguese,19,19,9,7,120.4,0,0,1,0,Female,0,32,0,14,15,17,14,10.21428571,0,13,13,13,13,11.38461538,0,16.2,0.3,-0.92,Graduate
2000,2000,Single,39,1,9254,Daytime,1,133.1,Portuguese,1,1,9,6,105,1,0,1,0,female,0,24,0,0,6,14,6,11.28571429,0,0,6,16,3,10.33333333,0,8.9,1.4,3.51,Dropout
2001,2001,Single,1,1,9238,Daytime,1,157,Portuguese,38,37,9,5,137.8,0,0,0,1,Female,1,18,0,0,6,6,6,13.83333333,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
2002,2002,Single,51,1,9254,Daytime,1,120,Portuguese,38,38,9,9,118,0,0,0,1,FEMALE,0,28,0,0,6,8,6,12.85714286,0,0,6,8,5,12.6,0,8.9,1.4,3.51,Graduate
2003,2003,Single,17,5,9853,Daytime,1,134,Portuguese,19,38,4,8,122.1,1,0,0,1,female,1,18,0,0,6,8,6,11.66666667,0,0,6,9,4,12,0,10.8,1.4,1.74,Dropout
2004,2004,Single,7,1,9853,Daytime,3,140,Portuguese,34,34,0,0,140,1,0,0,0,FEMALE,0,24,0,0,6,12,0,0,0,0,5,10,0,0,0,9.4,-0.8,-3.12,Dropout
2005,2005,Single,1,1,9085,Daytime,1,133,Portuguese,1,37,4,10,143.2,0,0,0,1,Female,0,19,0,0,5,7,5,14.4,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
2006,2006,Married,39,1,8014,Evening,1,146,Portuguese,37,37,9,8,120.5,0,0,0,1,Female,0,44,0,0,6,6,6,14.83333333,0,0,6,6,6,14.16666667,0,10.8,1.4,1.74,Graduate
2007,2007,Single,16,3,9085,Daytime,1,130,Portuguese,37,37,9,2,119.5,1,0,0,1,Female,1,18,0,0,6,14,6,14.33333333,0,0,6,9,6,12,0,15.5,2.8,-4.06,Graduate
2008,2008,Single,1,1,171,Daytime,1,151,Portuguese,37,37,9,7,147.5,1,0,0,1,Female,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Graduate
2009,2009,Single,1,6,9773,Daytime,1,133.1,Portuguese,1,1,90,90,129.6,0,0,0,1,Female,0,22,0,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32,Dropout
2010,2010,Single,18,1,9853,Daytime,1,132,Portuguese,37,37,9,5,126.1,0,0,0,1,Female,1,18,0,0,7,9,6,12.33333333,0,0,7,7,6,12.66666667,0,11.1,0.6,2.02,Graduate
2011,2011,Married,39,1,9991,Evening,1,110,Portuguese,37,37,9,4,160,0,0,0,1,female,0,44,0,0,5,5,5,11.8,0,0,5,5,5,12.4,0,15.5,2.8,-4.06,Graduate
2012,2012,Facto Union,39,1,9853,Daytime,19,133.1,Portuguese,38,1,5,3,105.5,0,0,1,1,Female,0,33,0,0,6,7,5,13.2,0,0,6,7,5,10.6,0,7.6,2.6,0.32,Dropout
2013,2013,Married,39,1,9853,Daytime,1,110,Portuguese,37,37,9,9,95.5,0,0,1,0,Female,0,32,0,0,6,6,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74,Dropout
2014,2014,Married,39,1,9003,Daytime,1,133.1,Portuguese,19,19,4,4,107.5,0,0,0,0,Female,0,35,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
2015,2015,Single,1,1,9238,Daytime,1,105,Portuguese,19,19,6,6,106.1,1,0,0,1,FEMALE,0,20,0,0,6,6,6,11.5,0,0,6,7,6,13.28571429,0,11.1,0.6,2.02,Graduate
2016,2016,Single,39,1,9254,Daytime,1,160,Portuguese,3,1,6,6,116.3,1,0,0,1,female,0,24,0,0,6,8,5,12.6,0,0,6,7,5,12.2,0,9.4,-0.8,-3.12,Graduate
2017,2017,Single,1,1,9500,Daytime,1,144,Portuguese,38,1,9,10,137.4,0,0,0,1,female,0,19,0,0,7,7,7,13.54285714,0,0,8,9,8,14.22222222,0,16.2,0.3,-0.92,Graduate
2018,2018,Single,1,1,9254,Daytime,1,100,Portuguese,19,19,5,5,101.8,1,0,0,1,FEMALE,0,21,0,0,6,8,5,11.6,0,0,6,6,5,13,0,12.4,0.5,1.79,Enrolled
2019,2019,Single,1,2,9773,Daytime,1,143,Portuguese,1,1,4,9,144.1,1,0,0,1,MALE,1,19,0,0,6,7,6,13.66666667,0,0,6,6,6,13.83333333,0,12.7,3.7,-1.7,Graduate
2020,2020,Single,42,1,9003,Daytime,1,160,Portuguese,19,1,9,5,107.8,1,0,0,0,Male,0,27,0,0,6,10,0,0,0,0,6,8,0,0,0,15.5,2.8,-4.06,Dropout
2021,2021,Single,39,1,9853,Daytime,1,140,Portuguese,19,1,9,4,128.2,0,0,0,0,Female,0,30,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
2022,2022,Single,17,4,171,Daytime,1,133.1,Portuguese,38,38,9,9,117,1,0,0,1,MALE,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
2023,2023,Single,1,1,9070,Daytime,1,116,Portuguese,1,12,5,8,110.4,1,0,0,1,Male,0,19,0,0,6,6,6,11.5,0,0,6,8,6,12.28571429,0,8.9,1.4,3.51,Graduate
2024,2024,Married,39,1,9991,Evening,1,120,Portuguese,37,37,9,10,170,0,0,0,1,Female,0,34,0,0,5,12,2,11.5,0,0,5,9,4,11.75,0,9.4,-0.8,-3.12,Enrolled
2025,2025,Single,43,1,9500,Daytime,1,141,Portuguese,4,19,4,10,100,0,0,0,1,Male,0,18,0,0,7,7,7,11.82857143,0,0,8,10,7,12.9125,0,13.9,-0.3,0.79,Graduate
2026,2026,Single,1,1,171,Daytime,1,110,Portuguese,3,2,3,3,117,1,0,0,1,Male,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,-0.8,-3.12,Graduate
2027,2027,Single,1,2,171,Daytime,1,127,Portuguese,3,39,1,3,133.5,1,0,0,1,Male,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Enrolled
2028,2028,Single,1,1,9500,Daytime,1,132,Portuguese,19,37,4,9,128,1,0,0,1,Female,1,19,0,0,7,7,6,12.96666667,0,0,7,7,6,12.96666667,0,7.6,2.6,0.32,Graduate
2029,2029,Single,1,1,9773,Daytime,1,135,Portuguese,37,38,9,6,122.1,1,0,0,1,MALE,0,18,0,0,6,6,6,13.83333333,0,0,6,6,6,13.66666667,0,12.7,3.7,-1.7,Graduate
2030,2030,Single,17,2,9500,Daytime,1,135,Portuguese,19,19,9,10,133.4,1,0,0,1,FEMALE,0,19,0,0,7,7,7,14.12571429,0,0,8,8,8,14.36875,0,11.1,0.6,2.02,Graduate
2031,2031,Divorced,39,1,9254,Daytime,1,140,Portuguese,38,37,9,9,112,0,0,1,1,female,0,45,0,4,10,12,5,12.16666667,4,2,8,8,0,0,2,12.7,3.7,-1.7,Dropout
2032,2032,Single,39,1,9085,Daytime,1,133.1,Portuguese,19,37,9,6,130,1,0,0,1,Female,0,26,0,0,6,17,6,12.66666667,0,0,6,21,4,12.25,0,15.5,2.8,-4.06,Graduate
2033,2033,Married,39,2,9991,Evening,1,100,Portuguese,37,37,9,9,100,1,0,0,1,MALE,0,51,0,0,4,4,0,0,0,0,5,0,0,0,0,12.7,3.7,-1.7,Dropout
2034,2034,Married,39,1,9773,Daytime,19,133.1,Portuguese,37,37,6,6,162,0,0,1,1,MALE,1,49,0,0,6,8,6,12.28571429,0,0,6,7,6,14.16666667,0,10.8,1.4,1.74,Graduate
2035,2035,Single,42,1,9500,Daytime,1,100,Portuguese,3,19,2,8,153,0,0,0,1,Male,0,22,0,3,6,7,3,14.5,0,4,7,8,4,14.375,0,15.5,2.8,-4.06,Enrolled
2036,2036,Single,17,1,9147,Daytime,1,137,Portuguese,1,37,5,9,131.4,1,0,0,1,male,0,22,0,0,5,8,2,10,0,0,5,7,1,10,0,7.6,2.6,0.32,Dropout
2037,2037,Married,7,1,9130,Daytime,3,120,Portuguese,3,3,1,1,128.2,0,0,0,1,Female,0,33,0,1,5,11,2,11.5,1,1,5,8,2,12,0,9.4,-0.8,-3.12,Dropout
2038,2038,Single,10,1,9670,Daytime,1,148.9,Cape Verdean,37,37,9,9,148.9,0,0,0,1,Female,0,20,1,0,5,6,5,11.6,0,0,5,6,4,11.5,0,9.4,-0.8,-3.12,Graduate
2039,2039,Single,1,4,9238,Daytime,1,134,Portuguese,38,19,7,7,128.4,1,0,0,1,Female,1,18,0,0,6,6,6,12.5,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
2040,2040,Single,1,5,9853,Daytime,1,128,Portuguese,38,37,9,9,120.3,1,0,1,0,Female,0,20,0,0,6,9,3,11.66666667,0,0,6,10,2,11,0,10.8,,1.74,Dropout
2041,2041,Married,57,1,9991,Evening,1,133.1,Brazilian,38,37,4,6,100,0,0,0,1,female,0,37,1,5,10,11,7,13.42857143,0,5,10,11,10,11.6,0,8.9,1.4,3.51,Graduate
2042,2042,Single,1,1,9254,Daytime,1,131,German,37,1,9,3,126.1,1,0,0,1,Male,0,18,1,0,6,6,6,13.66666667,0,0,6,6,6,13.5,0,7.6,2.6,0.32,Graduate
2043,2043,Single,1,3,9254,Daytime,1,118,Portuguese,1,19,9,9,111.7,1,0,0,1,female,0,19,0,0,6,6,6,12.5,0,0,6,6,6,12.16666667,0,12.4,0.5,1.79,Graduate
2044,2044,Single,44,1,9085,Daytime,39,140,Portuguese,1,19,3,3,140,1,0,0,1,Female,0,21,0,2,6,7,6,13,0,1,6,15,4,12.8,0,12.4,0.5,1.79,Graduate
2045,2045,Single,1,2,9500,Daytime,1,133,Portuguese,19,1,9,1,122.2,0,0,0,1,Female,0,20,0,0,7,9,6,12.78333333,0,0,8,9,7,12.84285714,0,13.9,-0.3,0.79,Graduate
2046,2046,Single,1,2,9500,Daytime,1,126,Portuguese,37,1,7,7,118.7,1,0,0,1,FEMALE,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,Dropout
2047,2047,Single,17,2,9556,Daytime,1,125,Portuguese,38,19,7,7,121.5,1,0,0,1,FEMALE,0,20,0,0,7,13,4,13.5,0,0,7,11,4,11.225,0,11.1,0.6,2.02,Dropout
2048,2048,Single,17,4,9500,Daytime,1,138,Portuguese,3,1,2,5,134.5,1,0,0,1,female,0,18,0,0,7,7,7,13.45714286,0,0,8,8,8,15.125,0,13.9,-0.3,0.79,Graduate
2049,2049,Single,1,4,9500,Daytime,1,140,Portuguese,1,19,9,7,127,1,0,0,1,Female,0,19,0,0,8,8,7,13.44285714,0,0,8,8,7,13.44285714,0,12.7,3.7,-1.7,Graduate
2050,2050,Single,1,1,9238,Daytime,1,124,Portuguese,37,38,9,3,114.2,0,0,0,1,Female,0,18,0,0,6,13,4,11,0,0,6,12,5,10.83333333,0,15.5,2.8,-4.06,Graduate
2051,2051,Single,17,1,9238,Daytime,1,133,Portuguese,38,38,7,7,125.3,1,0,0,1,Female,1,18,0,0,6,6,6,11.33333333,0,0,6,7,6,12.28571429,0,15.5,2.8,-4.06,Graduate
2052,2052,Single,1,2,9773,Daytime,1,127,Portuguese,1,19,4,5,120.4,1,0,0,1,Female,0,18,0,0,5,7,2,10,0,0,1,1,0,0,0,12.7,3.7,-1.7,Dropout
2053,2053,Single,1,6,9500,Daytime,1,138,Portuguese,1,38,3,9,123,1,0,0,1,female,0,19,0,0,7,10,5,13.44,0,0,7,8,6,13.06666667,0,12.4,0.5,1.79,Enrolled
2054,2054,Single,1,2,9556,Daytime,1,142,Portuguese,1,19,4,5,130.5,1,0,0,1,Female,1,18,0,0,7,8,7,12.21428571,0,0,8,8,8,14.0625,0,16.2,0.3,-0.92,Graduate
2055,2055,Single,1,1,9070,Daytime,1,130,Brazilian,37,19,9,8,125.5,1,0,0,1,female,1,19,1,0,6,6,6,14.16666667,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
2056,2056,Single,53,1,9003,Daytime,42,130,Portuguese,1,19,9,7,133.8,0,0,1,1,Female,1,24,0,7,12,13,12,12.84615385,0,5,11,13,11,12.63636364,0,8.9,1.4,3.51,Graduate
2057,2057,Single,44,1,9085,Daytime,39,150,Portuguese,37,37,9,9,150,0,0,0,1,Female,0,20,0,2,6,8,6,13,0,1,6,18,2,12,0,12.4,0.5,1.79,Enrolled
2058,2058,Single,1,1,9147,Daytime,1,127,Portuguese,1,19,5,7,130.5,1,0,0,1,FEMALE,1,21,0,0,5,6,5,12.8,1,0,5,7,4,11.25,0,9.4,-0.8,-3.12,Graduate
2059,2059,Single,44,1,9085,Daytime,39,140,Portuguese,38,37,4,10,140,0,0,1,0,Female,0,20,0,1,6,13,4,13,0,1,6,11,5,12,0,16.2,0.3,-0.92,Dropout
2060,2060,Single,17,6,9500,Daytime,1,126,Portuguese,19,37,3,9,119.4,1,0,0,1,Female,1,19,0,0,7,7,7,13.37142857,0,0,8,9,8,13.66666667,0,16.2,0.3,-0.92,Graduate
2061,2061,Single,17,5,9556,Daytime,1,139,Portuguese,19,19,9,8,121.3,1,0,0,1,Female,1,19,0,0,7,8,7,13.38571429,0,0,8,8,8,13.3875,0,10.8,1.4,1.74,Graduate
2062,2062,Single,1,3,9500,Daytime,1,141,Portuguese,1,1,9,9,126.3,1,0,0,1,FEMALE,0,18,0,0,8,8,7,13.32857143,0,0,8,8,7,13.32857143,0,12.7,3.7,-1.7,Graduate
2063,2063,Single,1,1,9085,Daytime,1,120,Portuguese,38,38,4,7,111.6,1,0,0,1,FEMALE,0,19,0,0,6,12,5,14,0,0,6,14,5,11,0,16.2,0.3,-0.92,Graduate
2064,2064,Single,17,4,9147,Daytime,1,120,Portuguese,38,19,9,9,111.3,1,0,0,1,Female,0,21,0,0,5,5,5,12.6,0,0,5,5,5,13.2,0,8.9,1.4,3.51,Graduate
2065,2065,Single,1,2,9853,Daytime,1,134,Portuguese,1,38,9,8,122.5,1,0,0,1,FEMALE,1,19,0,0,6,7,6,14,0,0,6,6,6,15,0,15.5,2.8,-4.06,Graduate
2066,2066,Single,1,5,9254,Daytime,1,128,Portuguese,19,1,7,10,116.5,1,0,0,1,Female,1,18,0,0,6,7,6,13.42857143,0,0,6,6,6,12.66666667,0,8.9,1.4,3.51,Graduate
2067,2067,Single,17,5,9070,Daytime,1,133,Portuguese,4,1,4,4,132,1,1,0,1,Female,1,17,0,0,6,6,6,13,0,0,6,6,6,12.5,0,15.5,2.8,-4.06,Graduate
2068,2068,Single,18,4,9853,Daytime,1,123,Portuguese,19,38,4,10,123.7,1,0,0,1,FEMALE,0,19,0,0,6,8,5,12.66666667,0,0,6,8,5,11,0,15.5,2.8,-4.06,Enrolled
2069,2069,Single,17,6,9147,Daytime,1,118,Portuguese,37,1,9,7,117,1,0,0,0,MALE,0,23,0,0,5,9,3,10,1,0,5,9,3,12.33333333,0,9.4,-0.8,-3.12,Dropout
2070,2070,Single,1,1,9670,Daytime,1,113,Portuguese,1,37,1,10,116.5,1,0,0,1,female,0,19,0,0,6,7,6,12.83333333,0,0,6,10,6,11.77777778,0,8.9,1.4,3.51,Graduate
2071,2071,Single,1,1,9500,Daytime,1,135,Portuguese,19,3,9,4,121.5,1,0,0,1,Female,0,18,0,0,7,7,6,12.91666667,0,0,7,7,6,12.91666667,0,7.6,2.6,0.32,Graduate
2072,2072,Single,1,1,9670,Daytime,1,133.1,Portuguese,38,38,5,9,105,1,0,0,1,female,0,20,0,0,6,9,6,13.28571429,0,0,6,8,5,13.8,0,15.5,2.8,-4.06,Graduate
2073,2073,Single,1,3,9085,Daytime,1,130,Portuguese,1,19,9,9,121.3,1,0,0,1,Female,1,19,0,0,5,6,5,14.6,0,0,5,5,5,13.8,0,10.8,1.4,1.74,Graduate
2074,2074,Single,1,1,9238,Daytime,1,135,Portuguese,19,38,3,9,136.1,1,0,0,1,FEMALE,1,18,0,0,6,6,6,14,0,0,6,6,6,13.66666667,0,12.4,0.5,1.79,Graduate
2075,2075,Single,17,2,9238,Daytime,1,133,Portuguese,37,37,9,4,123.6,0,0,0,1,female,1,19,0,0,6,7,6,14.14285714,0,0,6,6,6,15,0,13.9,-0.3,0.79,Graduate
2076,2076,Single,1,4,9238,Daytime,1,123,Portuguese,38,1,4,10,129,1,0,0,1,FEMALE,0,19,0,0,6,8,6,11.66666667,0,0,6,6,6,12.33333333,0,10.8,1.4,1.74,Graduate
2077,2077,Single,17,1,9500,Daytime,1,145,Portuguese,19,37,4,8,136.8,1,0,0,1,female,0,18,0,0,8,9,8,14.3775,1,0,8,9,8,14.3775,1,9.4,-0.8,-3.12,Graduate
2078,2078,Single,17,2,9500,Daytime,1,146,Portuguese,3,3,3,6,133.4,1,0,0,1,Female,0,18,0,0,7,8,7,12.5,0,0,8,9,7,13.04285714,0,13.9,-0.3,0.79,Graduate
2079,2079,Single,1,5,9500,Daytime,1,144,Portuguese,38,38,7,7,136,1,0,0,1,female,1,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,Graduate
2080,2080,Single,1,1,9500,Daytime,1,144,Portuguese,38,37,9,9,125.8,0,0,0,1,female,1,19,0,0,8,12,7,12.47142857,0,0,8,12,7,12.47142857,0,12.7,3.7,-1.7,Graduate
2081,2081,Single,1,1,9500,Daytime,1,131,Portuguese,4,4,2,1,120.5,0,0,0,1,female,0,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,Graduate
2082,2082,Single,1,2,9500,Daytime,1,141,Portuguese,37,37,9,8,130.2,1,0,0,1,female,0,21,0,0,7,11,7,14.07222222,0,0,8,8,8,14.0475,0,15.5,2.8,-4.06,Graduate
2083,2083,Single,1,3,9773,Daytime,1,138,Portuguese,3,1,2,3,135.9,1,0,0,1,female,0,18,0,0,6,7,6,14.85714286,0,0,6,6,6,14.66666667,0,13.9,-0.3,0.79,Graduate
2084,2084,Single,1,1,9773,Daytime,1,127,Portuguese,19,37,9,9,116.5,0,0,0,1,Female,1,19,0,0,6,7,6,14.28571429,0,0,6,6,6,13.16666667,0,11.1,0.6,2.02,Graduate
2085,2085,Single,1,4,9773,Daytime,1,124,Portuguese,19,37,99,90,124,0,0,0,0,female,0,18,0,0,4,4,0,0,0,0,4,4,0,0,0,12.7,3.7,-1.7,Dropout
2086,2086,Single,7,1,8014,Evening,3,140,Portuguese,1,1,4,4,140,0,0,0,1,Female,0,30,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
2087,2087,Single,17,1,9130,Daytime,1,157,Portuguese,3,2,3,6,150.9,1,0,0,1,Female,0,18,0,0,6,8,6,15,0,0,6,8,5,15.16666667,0,13.9,-0.3,0.79,Dropout
2088,2088,Single,1,3,9500,Daytime,1,129,Portuguese,19,19,4,8,127.3,1,0,0,1,female,1,20,0,0,7,7,6,12.63333333,0,0,7,7,6,12.63333333,0,7.6,2.6,0.32,Graduate
2089,2089,Single,39,1,9670,Daytime,19,133.1,Portuguese,1,1,4,7,100,0,0,1,0,Female,0,25,0,0,5,5,5,11.2,0,0,5,5,5,12.6,0,9.4,-0.8,-3.12,Dropout
2090,2090,Single,1,5,9500,Daytime,1,142,Portuguese,38,37,5,7,128.8,1,0,0,1,Female,0,18,0,0,7,7,6,14.23333333,0,0,7,7,6,14.23333333,0,7.6,2.6,0.32,Graduate
2091,2091,Facto Union,1,3,9085,Daytime,1,133,Portuguese,19,19,4,7,119.7,1,0,0,1,Female,0,21,0,0,5,13,5,12.2,2,0,5,10,3,11.33333333,1,9.4,-0.8,-3.12,Enrolled
2092,2092,Single,1,1,9500,Daytime,1,156,Portuguese,5,4,2,1,140.8,0,0,0,1,Female,0,18,0,0,8,8,7,15.7,0,0,8,8,7,15.7,0,12.7,3.7,-1.7,Graduate
2093,2093,Single,1,1,9500,Daytime,1,151,Portuguese,37,37,9,9,138,1,0,0,1,Female,0,18,0,0,7,7,6,15.2,0,0,7,7,6,15.2,0,7.6,2.6,0.32,Graduate
2094,2094,Single,17,1,9853,Daytime,1,135,Portuguese,3,3,2,2,132.9,1,0,0,0,FEMALE,0,29,0,0,6,9,6,16.33333333,0,0,6,8,5,15.6,0,12.7,3.7,-1.7,Dropout
2095,2095,Single,43,1,9130,Daytime,1,140,Portuguese,3,3,2,2,140,0,0,0,1,female,0,20,0,10,17,29,14,12.5625,4,7,12,24,12,12.85714286,1,15.5,2.8,-4.06,Graduate
2096,2096,Single,7,1,9500,Daytime,3,140,Portuguese,3,1,4,4,140,0,0,0,1,FEMALE,0,26,0,0,7,0,0,0,0,0,8,0,0,0,0,13.9,-0.3,0.79,Dropout
2097,2097,Single,1,2,9238,Daytime,1,100,Portuguese,38,1,7,7,99.3,1,0,0,1,female,0,21,0,0,6,8,5,12.4,0,0,6,6,6,12,0,12.4,0.5,1.79,Graduate
2098,2098,Single,18,1,9500,Daytime,1,126,Portuguese,37,19,5,5,119.3,0,0,0,1,Female,1,19,0,0,8,9,8,13.78125,1,0,8,9,8,13.78125,1,9.4,-0.8,-3.12,Graduate
2099,2099,Single,17,2,9254,Daytime,1,123,Portuguese,19,19,5,5,113.2,1,0,1,1,female,0,19,0,0,6,10,6,12.16666667,0,0,6,8,5,11.66666667,0,16.2,0.3,-0.92,Dropout
2100,2100,Single,17,1,9773,Daytime,1,133.1,Portuguese,38,38,9,5,117,0,0,0,1,Female,0,21,0,0,6,8,5,11.8,0,0,6,8,5,11.83333333,0,15.5,2.8,-4.06,Enrolled
2101,2101,Single,18,1,8014,Evening,1,137,Portuguese,1,1,4,3,123,0,0,1,1,FEMALE,0,20,0,0,6,13,4,10.8,0,0,6,15,4,12,0,16.2,0.3,-0.92,Graduate
2102,2102,Single,1,6,9500,Daytime,1,138,Portuguese,37,37,9,8,127.2,1,0,0,1,Female,1,18,0,0,7,8,7,13.26,0,0,8,8,8,14.28625,0,15.5,2.8,-4.06,Graduate
